"Date","Description","Amount","Category","Account"
"2025-02-01","Monthly Salary Deposit",5000,"Salary","Checking Account"
"2025-02-05","Rent Payment - Apartment",-1500,"Rent/Mortgage","Checking Account"
"2025-02-15","Magazine Subscription - Transfer",-42.17,"Subscription","Credit Card"
"2025-02-17","Pizza Hut - Transaction",-26.3,"Food & Dining","Checking Account"
"2025-02-18","AMC Theaters - Transfer",-105.4,"Entertainment","Checking Account"
"2025-02-18","Generic Transaction - Transaction",-257.34,"Education","Checking Account"
"2025-02-21","Generic Transaction - Payment",-1349.45,"Rent/Mortgage","Credit Card"
"2025-02-21","Amazon",-160.73,"Shopping","Checking Account"
"2025-02-21","Walmart - Payment",-129.04,"Groceries","Checking Account"
"2025-02-23","Generic Transaction - Transaction",-883.36,"Travel","Checking Account"
"2025-02-24","Uber - Transaction",-70.57,"Transportation","Checking Account"
"2025-02-24","Lyft",-19.2,"Transportation","Checking Account"
"2025-02-24","Water Utility - Transaction",-209.93,"Bills & Utilities","Checking Account"
"2025-02-25","Gaming Store - Purchase",-148.03,"Entertainment","Checking Account"
"2025-02-26","Generic Transaction",411.15,"Other Income","Checking Account"
"2025-02-28","Water Utility",-223.92,"Bills & Utilities","Checking Account"
"2025-02-28","Walgreens - Transfer",-30.39,"Healthcare","Checking Account"
"2025-02-28","Amazon - Payment",-45.95,"Shopping","Credit Card"
"2025-03-01","Internet Provider - Transfer",-111.66,"Bills & Utilities","Checking Account"
"2025-03-01","Lyft",-94.04,"Transportation","Checking Account"
"2025-03-01","Monthly Salary Deposit",5000,"Salary","Checking Account"
"2025-03-02","Gaming Store - Purchase",-47.14,"Entertainment","Checking Account"
"2025-03-02","CVS Pharmacy - Purchase",-130.69,"Healthcare","Credit Card"
"2025-03-03","Generic Transaction - Purchase",-963.36,"Travel","Credit Card"
"2025-03-03","Generic Transaction",-129.61,"Education","Checking Account"
"2025-03-03","Generic Transaction - Transfer",-470.82,"Education","Checking Account"
"2025-03-04","Generic Transaction - Payment",-268.21,"Gifts & Donations","Checking Account"
"2025-03-05","Generic Transaction - Transaction",-873.2,"Travel","Checking Account"
